transaction_id,user_id,amount,merchant_id,actual_location,timestamp,device_type,transactions_last_10min,time_since_last_txn_min,amount_deviation_ratio,device_change_flag,location_change_flag,anomaly_score,risk_level,rule_triggered,final_decision
TXN_00000,USER_007,795.86,MERCH_33,Kolkata,21-12-2025 07:49,web,2,82,0.83,0,0,0.173238115,LOW,NONE,APPROVED
TXN_00001,USER_087,1168.19,MERCH_02,Chennai,23-12-2025 07:58,web,3,91,0.63,0,0,0.170691917,LOW,NONE,APPROVED
TXN_00002,USER_094,4222.06,MERCH_07,Delhi,23-12-2025 07:18,mobile,2,51,1.35,0,0,0.148589114,LOW,NONE,APPROVED
TXN_00003,USER_085,1581.61,MERCH_20,Chennai,21-12-2025 08:20,web,4,113,1.38,0,0,0.172934189,LOW,NONE,APPROVED
TXN_00004,USER_089,939.99,MERCH_23,Kolkata,22-12-2025 07:28,web,2,61,0.92,0,0,0.176358976,LOW,NONE,APPROVED
TXN_00005,USER_007,698.89,MERCH_06,Kolkata,21-12-2025 07:55,atm,4,6,0.73,1,0,0.058474246,LOW,NONE,APPROVED
TXN_00006,USER_086,1584.61,MERCH_19,Chennai,22-12-2025 08:39,atm,3,132,1.08,0,0,0.200936801,LOW,NONE,APPROVED
TXN_00007,USER_006,1448.82,MERCH_22,Pune,21-12-2025 07:10,mobile,1,43,0.81,0,0,0.166748238,LOW,NONE,APPROVED
TXN_00008,USER_071,746.27,MERCH_12,Mumbai,22-12-2025 06:38,web,3,11,0.77,0,0,0.15730404,LOW,NONE,APPROVED
TXN_00009,USER_001,1337.04,MERCH_01,Delhi,21-12-2025 06:51,mobile,2,24,0.8,0,0,0.164628221,LOW,NONE,APPROVED
TXN_00010,USER_012,645.76,MERCH_20,Chennai,21-12-2025 06:52,mobile,4,25,0.62,1,0,0.040507401,LOW,NONE,APPROVED
TXN_00011,USER_081,1411.74,MERCH_39,Chennai,22-12-2025 08:59,mobile,2,152,1.13,0,0,0.18913176,LOW,NONE,APPROVED
TXN_00012,USER_050,1987.38,MERCH_33,Hyderabad,23-12-2025 08:36,web,1,129,1.26,1,0,0.08474124,LOW,NONE,APPROVED
TXN_00013,USER_081,837.58,MERCH_03,Chennai,22-12-2025 11:11,web,2,132,0.67,1,0,0.072541004,LOW,NONE,APPROVED
TXN_00014,USER_018,3516.08,MERCH_02,Chennai,24-12-2025 06:56,mobile,4,29,1.05,0,0,0.172151742,LOW,NONE,APPROVED
TXN_00015,USER_081,1210.55,MERCH_05,Chennai,22-12-2025 12:16,web,1,65,0.97,0,0,0.183165719,LOW,NONE,APPROVED
TXN_00016,USER_096,1540.41,MERCH_05,Bengaluru,23-12-2025 08:47,web,4,140,0.8,1,0,0.091727486,LOW,NONE,APPROVED
TXN_00017,USER_109,1788.29,MERCH_25,Chennai,21-12-2025 07:22,atm,4,55,1,0,0,0.193546733,LOW,NONE,APPROVED
TXN_00018,USER_010,2155.27,MERCH_13,Chennai,24-12-2025 09:25,mobile,1,178,1.09,0,0,0.183191447,LOW,NONE,APPROVED
TXN_00019,USER_010,2161.86,MERCH_09,Chennai,24-12-2025 10:52,mobile,3,87,1.1,0,0,0.206282707,LOW,NONE,APPROVED
TXN_00020,USER_002,1392.91,MERCH_32,Delhi,21-12-2025 08:34,atm,1,127,1.15,0,0,0.174554136,LOW,NONE,APPROVED
TXN_00021,USER_038,2372.25,MERCH_36,Bengaluru,24-12-2025 07:43,atm,4,76,1.21,0,0,0.195014385,LOW,NONE,APPROVED
TXN_00022,USER_026,929.84,MERCH_05,Chennai,24-12-2025 06:51,atm,1,24,0.83,0,0,0.15319563,LOW,NONE,APPROVED
TXN_00023,USER_105,1835.7,MERCH_14,Mumbai,21-12-2025 08:25,mobile,4,118,0.77,0,0,0.190615113,LOW,NONE,APPROVED
TXN_00024,USER_010,2684.67,MERCH_09,Chennai,24-12-2025 11:31,mobile,3,39,1.36,0,0,0.1944027,LOW,NONE,APPROVED
TXN_00025,USER_078,3029.18,MERCH_15,Chennai,23-12-2025 08:40,atm,1,133,1.16,0,0,0.177108675,LOW,NONE,APPROVED
TXN_00026,USER_064,1449.79,MERCH_32,Chennai,22-12-2025 08:34,web,2,127,0.6,0,0,0.154871637,LOW,NONE,APPROVED
TXN_00027,USER_088,2759.26,MERCH_21,Pune,20-12-2025 07:47,mobile,4,80,0.88,0,0,0.189879542,LOW,NONE,APPROVED
TXN_00028,USER_016,1783.29,MERCH_08,Delhi,20-12-2025 06:30,mobile,3,3,1.27,0,0,0.178143875,LOW,NONE,APPROVED
TXN_00029,USER_119,2537.07,MERCH_05,Pune,24-12-2025 06:33,mobile,3,6,0.8,0,0,0.179337179,LOW,NONE,APPROVED
TXN_00030,USER_051,4423.22,MERCH_18,Bengaluru,20-12-2025 09:00,web,3,153,1.28,1,0,0.070115685,LOW,NONE,APPROVED
TXN_00031,USER_014,24422.81,MERCH_21,Hyderabad,24-12-2025 09:12,mobile,7,165,8.05,0,0,-0.103342731,HIGH,"HIGH_AMOUNT_SPIKE, RAPID_TXN_BURST",FLAGGED
TXN_00032,USER_025,1582.9,MERCH_36,Mumbai,20-12-2025 08:19,atm,4,112,1.33,0,0,0.187206014,LOW,NONE,APPROVED
TXN_00033,USER_071,1052.41,MERCH_09,Mumbai,22-12-2025 07:01,atm,4,23,1.09,1,0,0.079425991,LOW,NONE,APPROVED
TXN_00034,USER_083,937.83,MERCH_22,Bengaluru,24-12-2025 08:34,mobile,2,127,0.98,1,0,0.081960586,LOW,NONE,APPROVED
TXN_00035,USER_037,2216.91,MERCH_36,Delhi,24-12-2025 09:17,mobile,2,170,0.84,0,0,0.194210752,LOW,NONE,APPROVED
TXN_00036,USER_086,1125.35,MERCH_32,Chennai,22-12-2025 09:24,atm,1,45,0.77,0,0,0.175012142,LOW,NONE,APPROVED
TXN_00037,USER_071,907.85,MERCH_36,Mumbai,22-12-2025 08:29,atm,4,88,0.94,0,0,0.182998884,LOW,NONE,APPROVED
TXN_00038,USER_025,1017.52,MERCH_24,Mumbai,20-12-2025 09:06,atm,1,47,0.86,0,0,0.177355216,LOW,NONE,APPROVED
TXN_00039,USER_034,878.66,MERCH_34,Delhi,20-12-2025 07:21,mobile,4,54,0.91,0,0,0.179969509,LOW,NONE,APPROVED
TXN_00040,USER_027,1342.27,MERCH_24,Hyderabad,24-12-2025 07:56,web,4,89,0.82,0,0,0.18538905,LOW,NONE,APPROVED
TXN_00041,USER_017,1681.2,MERCH_16,Chennai,24-12-2025 08:45,web,2,138,0.67,0,0,0.178057759,LOW,NONE,APPROVED
TXN_00042,USER_050,2017.45,MERCH_02,Hyderabad,23-12-2025 10:33,web,3,117,1.28,0,0,0.20057877,LOW,NONE,APPROVED
TXN_00043,USER_017,19305.71,MERCH_34,Chennai,24-12-2025 10:49,web,5,124,7.74,0,0,-0.07430948,HIGH,"HIGH_AMOUNT_SPIKE, RAPID_TXN_BURST",FLAGGED
TXN_00044,USER_110,1814.48,MERCH_10,Chennai,23-12-2025 08:24,web,1,117,0.78,0,0,0.17731658,LOW,NONE,APPROVED
TXN_00045,USER_067,2049.37,MERCH_03,Pune,23-12-2025 06:57,mobile,4,30,0.67,0,0,0.16182768,LOW,NONE,APPROVED
TXN_00046,USER_001,1869.25,MERCH_20,Delhi,21-12-2025 07:53,mobile,1,62,1.12,0,0,0.183591107,LOW,NONE,APPROVED
TXN_00047,USER_017,1694.86,MERCH_20,Chennai,24-12-2025 13:07,web,1,138,0.68,0,0,0.172133335,LOW,NONE,APPROVED
TXN_00048,USER_068,4129.29,MERCH_01,Kolkata,20-12-2025 07:19,mobile,2,52,1.23,0,0,0.159673226,LOW,NONE,APPROVED
TXN_00049,USER_002,1346.93,MERCH_16,Delhi,21-12-2025 10:34,atm,3,120,1.12,0,0,0.197746555,LOW,NONE,APPROVED
