transaction_id,user_id,amount,merchant_id,actual_location,timestamp,device_type,transactions_last_10min,avg_amount_user,time_since_last_txn_min,amount_deviation_ratio,device_change_flag,location_change_flag
TXN_00000,USER_007,795.86,MERCH_33,Kolkata,21-12-2025 07:49,web,2,956.6,82,0.83,0,0
TXN_00001,USER_087,1168.19,MERCH_02,Chennai,23-12-2025 07:58,web,3,1855.56,91,0.63,0,0
TXN_00002,USER_094,4222.06,MERCH_07,Delhi,23-12-2025 07:18,mobile,2,3132.76,51,1.35,0,0
TXN_00003,USER_085,1581.61,MERCH_20,Chennai,21-12-2025 08:20,web,4,1149.22,113,1.38,0,0
TXN_00004,USER_089,939.99,MERCH_23,Kolkata,22-12-2025 07:28,web,2,1017.57,61,0.92,0,0
TXN_00005,USER_007,698.89,MERCH_06,Kolkata,21-12-2025 07:55,atm,4,956.6,6,0.73,1,0
TXN_00006,USER_086,1584.61,MERCH_19,Chennai,22-12-2025 08:39,atm,3,1468.56,132,1.08,0,0
TXN_00007,USER_006,1448.82,MERCH_22,Pune,21-12-2025 07:10,mobile,1,1787.36,43,0.81,0,0
TXN_00008,USER_071,746.27,MERCH_12,Mumbai,22-12-2025 06:38,web,3,963.81,11,0.77,0,0
TXN_00009,USER_001,1337.04,MERCH_01,Delhi,21-12-2025 06:51,mobile,2,1674.35,24,0.8,0,0
TXN_00010,USER_012,645.76,MERCH_20,Chennai,21-12-2025 06:52,mobile,4,1044.93,25,0.62,1,0
TXN_00011,USER_081,1411.74,MERCH_39,Chennai,22-12-2025 08:59,mobile,2,1253.73,152,1.13,0,0
TXN_00012,USER_050,1987.38,MERCH_33,Hyderabad,23-12-2025 08:36,web,1,1577.43,129,1.26,1,0
TXN_00013,USER_081,837.58,MERCH_03,Chennai,22-12-2025 11:11,web,2,1253.73,132,0.67,1,0
TXN_00014,USER_018,3516.08,MERCH_02,Chennai,24-12-2025 06:56,mobile,4,3358.81,29,1.05,0,0
TXN_00015,USER_081,1210.55,MERCH_05,Chennai,22-12-2025 12:16,web,1,1253.73,65,0.97,0,0
TXN_00016,USER_096,1540.41,MERCH_05,Bengaluru,23-12-2025 08:47,web,4,1921.3,140,0.8,1,0
TXN_00017,USER_109,1788.29,MERCH_25,Chennai,21-12-2025 07:22,atm,4,1796.98,55,1,0,0
TXN_00018,USER_010,2155.27,MERCH_13,Chennai,24-12-2025 09:25,mobile,1,1970.84,178,1.09,0,0
